business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,opening_hours,photos,rating,user_ratings_total,hex_id
OPERATIONAL,"{'location': {'lat': 24.920433, 'lng': 67.2595719}, 'viewport': {'northeast': {'lat': 24.9217925302915, 'lng': 67.2609533802915}, 'southwest': {'lat': 24.9190945697085, 'lng': 67.25825541970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New quetta bismillah hotel,ChIJBVyzXgA3sz4RlO0iTy3LRvw,ChIJBVyzXgA3sz4RlO0iTy3LRvw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","W7C5+5RV, Memon Goth Murad Memon Goth Gadap Town, Karachi",,,,,8642e445fffffff
OPERATIONAL,"{'location': {'lat': 24.9130195, 'lng': 67.27450189999999}, 'viewport': {'northeast': {'lat': 24.9144833802915, 'lng': 67.2758891802915}, 'southwest': {'lat': 24.91178541970849, 'lng': 67.2731912197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Imran khas kheli hotel,ChIJ5SinuVs3sz4RSvqvZuh-OR4,ChIJ5SinuVs3sz4RSvqvZuh-OR4,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","W77F+6R2, National Highway - Super Highway Link Road, Gadap Town, Karachi",{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111007964449290324218"">Bhai khan</a>'], 'photo_reference': 'AUGGfZmYXYOlTN-IiCZP4WfUhPHaaVVPH55jtfoGc2CrBGRUKxGtf0c8XL8-HDEAvMmGjOKtVPya96n1owo-eZXr1uIaMSMDrcPYjWZ1cAP6CStyIE2ReAy5pB75DZqfv3JxyMXZJMITkZftVRQvJikojc-j1dsntLJ5zy0kodOZgd41Q0Fo', 'width': 5504}]",3.7,11.0,8642e445fffffff
OPERATIONAL,"{'location': {'lat': 24.9155579, 'lng': 67.2493286}, 'viewport': {'northeast': {'lat': 24.9168579802915, 'lng': 67.2507166302915}, 'southwest': {'lat': 24.9141600197085, 'lng': 67.2480186697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta super abaseen Quetta hotel,ChIJY5-MbAA3sz4RVRChpyPrqy8,ChIJY5-MbAA3sz4RVRChpyPrqy8,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","W68X+6QP, Road Memon Goth Road, Murad Memon Goth Gadap Town, Karachi",,"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113165809898361226072"">Muhammad Waqas</a>'], 'photo_reference': 'AUGGfZmKeU8o9Mu48BRnultIb3Mac4BTrhoqv1R0pwXhQ49adE_9gbHbhgR3spC8I-xAw1SsTJDDgwHlGuabvYm2IsC8Iom5WmNWbncWipH9huIFpeY9pDoh_0xKAgtvbid2TqJXIBk8PxyPJ-FcaJwoYack1UUnK_AiMoTRn5-pJq7pPGSo', 'width': 2976}]",5.0,1.0,8642e445fffffff
OPERATIONAL,"{'location': {'lat': 24.9188293, 'lng': 67.2476068}, 'viewport': {'northeast': {'lat': 24.9201681802915, 'lng': 67.2489294802915}, 'southwest': {'lat': 24.9174702197085, 'lng': 67.24623151970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Noorani Hotel,ChIJEb37DMY3sz4RWnjmCwc-GuA,ChIJEb37DMY3sz4RWnjmCwc-GuA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']","W69X+J26, Murad Memon Goth Gadap Town, Karachi",,,5.0,2.0,8642e445fffffff
OPERATIONAL,"{'location': {'lat': 24.9244229, 'lng': 67.24741100000001}, 'viewport': {'northeast': {'lat': 24.9257649302915, 'lng': 67.2487362302915}, 'southwest': {'lat': 24.9230669697085, 'lng': 67.24603826970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Al-Jannat Hotel,ChIJ29iK7Dc3sz4RYdBUfugU36o,ChIJ29iK7Dc3sz4RYdBUfugU36o,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W6FW+QX7, Unnamed Road, Memon Goth Road, Murad Memon Goth Gadap Town, Karachi",,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106481172977934670819"">Malik Hassan</a>'], 'photo_reference': 'AUGGfZkI-7n3nT_zFNgqQ3fmK0WyggGoCp65HvHljkHPHW8tMMaRp1amV7lGGQV4yMCC4iKWGIEXUhxGgPUB-BNDVrDm0Ee21O8gQalQeoCTAg9PRVScXNzP_MgopIlFOGm7nMy-ulSgkFxRqfzN7CeUVRNFnM0-28bD7G3o_i_OoOzaZq-l', 'width': 3120}]",4.2,5.0,8642e445fffffff
