business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,photos,price_level,plus_code,hex_id
OPERATIONAL,"{'location': {'lat': 24.9500926, 'lng': 67.0736912}, 'viewport': {'northeast': {'lat': 24.9514246302915, 'lng': 67.0750565302915}, 'southwest': {'lat': 24.9487266697085, 'lng': 67.0723585697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Moosa Hotel,ChIJEX-YhddBsz4RTYIbPoZXT8Y,3.7,ChIJEX-YhddBsz4RTYIbPoZXT8Y,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",14.0,"X32F+2FP, Powerhouse Road, Federal B Area Block 18 Gulberg Town, Karachi",,,,,8742e442cffffff
OPERATIONAL,"{'location': {'lat': 24.9563465, 'lng': 67.0731277}, 'viewport': {'northeast': {'lat': 24.9576984802915, 'lng': 67.0744795302915}, 'southwest': {'lat': 24.95500051970849, 'lng': 67.07178156970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Apna Hotel,ChIJJ7NT4aJAsz4RmefSRPpk-38,3.9,ChIJJ7NT4aJAsz4RmefSRPpk-38,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",66.0,"X34F+G7J, Sector 16 A Buffer Zone, Karachi",{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105615993052271076247"">Mohammad Imran Aftab Ahmed</a>'], 'photo_reference': 'AUGGfZnX74Y7zZLK3fWbUIbz-Co4pLQMe2fzk6-C8BtG0gon-2CF36wNp6zOBaiMLSAWuvy7cyU7Ne0ZMNWf0cM06nko4fEcGZtVwy-hBb3MfacM2vu5wlPfQHXhpzeWD7B9dr2dIIqB5--cM1kb7CQwbbJDadcO-oD5LGoe4rM4Cu7gRHur', 'width': 3096}]",1.0,,8742e442cffffff
OPERATIONAL,"{'location': {'lat': 24.9482288, 'lng': 67.0788421}, 'viewport': {'northeast': {'lat': 24.9496014302915, 'lng': 67.08016848029149}, 'southwest': {'lat': 24.9469034697085, 'lng': 67.07747051970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Riwaj,ChIJifrEQqdAsz4R9pkxHvGZpcM,4.1,ChIJifrEQqdAsz4R9pkxHvGZpcM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",94.0,"213, Block 20, Federal B Area Ancholi Block 20 Gulberg Town, Karachi",{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108526939776692879995"">Cafe Riwaj</a>'], 'photo_reference': 'AUGGfZkWkye6SaC9YoBORxPy_qKqsFQ2YrP8Xdu6zfmlYGFTUJ_ort7QF4TFWJ4_77IuFyjtsk7yM2ik6LKAcgXZjjKRQY9KQLpqbyZqX0IaPHpbYWJ7RawZscdWz6s9OKAtQwDjB9lI5ggzmbQ1RaQMuqZq1GbJvNwl59Pw1VuDs1zdcfk-', 'width': 960}]",,"{'compound_code': 'W3XH+7G Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3XH+7G'}",8742e442cffffff
OPERATIONAL,"{'location': {'lat': 24.9548375, 'lng': 67.0662031}, 'viewport': {'northeast': {'lat': 24.9562356302915, 'lng': 67.0675951802915}, 'southwest': {'lat': 24.9535376697085, 'lng': 67.0648972197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Ghous Al Azam,ChIJEc-cNDpBsz4RCNNlFeIXTZc,,ChIJEc-cNDpBsz4RCNNlFeIXTZc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"X338+WFP, Sector 15-A Sector 15 A 5 Buffer Zone, Karachi",{'open_now': True},,,,8742e442cffffff
OPERATIONAL,"{'location': {'lat': 24.948105, 'lng': 67.07944440000001}, 'viewport': {'northeast': {'lat': 24.9494810302915, 'lng': 67.08076998029152}, 'southwest': {'lat': 24.9467830697085, 'lng': 67.07807201970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,"S,AA CHAPATI MAKER",ChIJXeZk5-lBsz4Rq2H5nSA4F3c,5.0,ChIJXeZk5-lBsz4Rq2H5nSA4F3c,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",18.0,Karachi,{'open_now': True},"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106259988531659377330"">Khan Kjk</a>'], 'photo_reference': 'AUGGfZmCIoojm_DLe6wdlQ23dZMgSodQs5Qy2Nz7yMAsz3e2bXifMdJwfFzCtZwKoYD88kRBmYqj33-DVgH1j-FUuqkUs3OyWOK9f49mxeADIrpuVXxLuc53DPOaQ_RlFBxr8gvyPpA9JT9Whlx_dpjhAHka6JbNqeuqyaJOtBsxOGzCg8NT', 'width': 2576}]",,"{'compound_code': 'W3XH+6Q Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3XH+6Q'}",8742e442cffffff
OPERATIONAL,"{'location': {'lat': 24.9542388, 'lng': 67.06510399999999}, 'viewport': {'northeast': {'lat': 24.95555658029151, 'lng': 67.0664953302915}, 'southwest': {'lat': 24.9528586197085, 'lng': 67.0637973697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کیفے مکہ پیالہ ہوٹل,ChIJtzHJfH9Bsz4RLsgxNEmy4ik,5.0,ChIJtzHJfH9Bsz4RLsgxNEmy4ik,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Plot R, 5, 15-A/1 سیکٹر Sector 15 A 1 بفر زون, کراچی",,"[{'height': 405, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116024544182044365793"">Zain Khan</a>'], 'photo_reference': 'AUGGfZkfFP7J1YRcBBTdjkzwwWlWRaG1WQMhjKUUoym-b5c9k9Vl12HUix8FCMEupea3o59TsAxHE4eS9D9UzFDHBIJRCogJeTD4GPvtKFco5YvdFXlGvnJ-sYhzhnxATtvOZ3YAqtcMCYgQqg2-GiFJWlKSOAExhmAOww2s6bONnUW2al7w', 'width': 720}]",,"{'compound_code': 'X338+M2 Buffer Zone, Karachi, Pakistan', 'global_code': '7JP9X338+M2'}",8742e442cffffff
OPERATIONAL,"{'location': {'lat': 24.9451668, 'lng': 67.0750396}, 'viewport': {'northeast': {'lat': 24.9465702302915, 'lng': 67.07633778029151}, 'southwest': {'lat': 24.9438722697085, 'lng': 67.07363981970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Side Street Cafe,ChIJFRFsZ6w_sz4RZUzH--g5jio,4.1,ChIJFRFsZ6w_sz4RZUzH--g5jio,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",107.0,"Samnabad St, Federal B Area Block 18 Gulberg, Karachi, Karachi City, Sindh, Samnabad Street, Block 18 Gulberg Town, Karachi",{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105318053661893306141"">Zeeshan Kharadi (ZK)</a>'], 'photo_reference': 'AUGGfZmw4hYZ-074YEyZwziksd-ECR9maYL70zecZPfPZQXhmHR9TWejwCSj3i30b7JAaj7bbJ_2YeA9hO_kY21sFe2JLc34UxMitDg_ooi0c5-oz1DOhXQlhDR6tVbHINQMGT1XyBaqS7cexwE8akSRKx9L454S6BaY79D7J4PBruV_3MfX', 'width': 3120}]",,"{'compound_code': 'W3WG+32 Gulberg Town, Karachi, Pakistan', 'global_code': '7JP9W3WG+32'}",8742e442cffffff
