business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 24.8754505, 'lng': 67.0142353}, 'viewport': {'northeast': {'lat': 24.8768186802915, 'lng': 67.0156078302915}, 'southwest': {'lat': 24.87412071970849, 'lng': 67.01290986970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,BISMILLAH milk shop and dairy,{'open_now': True},ChIJq06Chjs-sz4Rz1wI0dsDK6k,"{'compound_code': 'V2G7+5M Usmanabad, Karachi, Pakistan', 'global_code': '7JP9V2G7+5M'}",4.5,ChIJq06Chjs-sz4Rz1wI0dsDK6k,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",17.0,"Badshahi Road, Karachi",8742e4430ffffff
OPERATIONAL,"{'location': {'lat': 24.8765161, 'lng': 67.002946}, 'viewport': {'northeast': {'lat': 24.8778581302915, 'lng': 67.0043466802915}, 'southwest': {'lat': 24.8751601697085, 'lng': 67.00164871970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Gafoor hotel,,ChIJdXj2BwM_sz4Rbj8n0TqwLDU,,3.5,ChIJdXj2BwM_sz4Rbj8n0TqwLDU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",4.0,"V2G3+H74, New Kumbhar Wara Road, Kumhar Wara Singo Lane, Karachi",8742e4430ffffff
OPERATIONAL,"{'location': {'lat': 24.87304869999999, 'lng': 67.009068}, 'viewport': {'northeast': {'lat': 24.8744064802915, 'lng': 67.01044578029152}, 'southwest': {'lat': 24.87170851970849, 'lng': 67.00774781970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کوئٹہ بلوچستان ہوٹل,{'open_now': True},ChIJkRqzs9w_sz4Ry--XtjFLSSE,"{'compound_code': 'V2F5+6J Nawa Lane, Karachi, Pakistan', 'global_code': '7JP9V2F5+6J'}",,ChIJkRqzs9w_sz4Ry--XtjFLSSE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Jagdal Street, Nawa Lane, Karachi",8742e4430ffffff
OPERATIONAL,"{'location': {'lat': 24.8744438, 'lng': 67.0151803}, 'viewport': {'northeast': {'lat': 24.8758053802915, 'lng': 67.01654678029149}, 'southwest': {'lat': 24.8731074197085, 'lng': 67.01384881970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ ترین ھوتل,,ChIJHbxfAQA_sz4RjB5REnGKcVE,,,ChIJHbxfAQA_sz4RjB5REnGKcVE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"V2F8+Q3F, Badshahi Road, Garden West Azeem Plaza Garden, Karachi",8742e4430ffffff
OPERATIONAL,"{'location': {'lat': 24.8853609, 'lng': 67.0159414}, 'viewport': {'northeast': {'lat': 24.8867189802915, 'lng': 67.01727528029151}, 'southwest': {'lat': 24.8840210197085, 'lng': 67.01457731970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Enayat chai hotel,,ChIJG2IOf98_sz4REIBOIiKjscg,"{'compound_code': 'V2P8+49 United Colony, Karachi, Pakistan', 'global_code': '7JP9V2P8+49'}",4.2,ChIJG2IOf98_sz4REIBOIiKjscg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"Golimar United Colony, Karachi",8742e4430ffffff
