business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,reference,scope,types,vicinity,opening_hours,photos,rating,user_ratings_total,hex_id
OPERATIONAL,"{'location': {'lat': 25.0360391, 'lng': 67.0172224}, 'viewport': {'northeast': {'lat': 25.03739008029151, 'lng': 67.0185946802915}, 'southwest': {'lat': 25.0346921197085, 'lng': 67.0158967197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Gujjar hotel,ChIJkw9c-3dDsz4R-_SYYexYMUY,"{'compound_code': '22P8+CV Gul Mohammad Qalandrani Goth Gadap Town, Karachi, Pakistan', 'global_code': '7JQ922P8+CV'}",ChIJkw9c-3dDsz4R-_SYYexYMUY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","UC-8 Mango Pir, Gadap Town, Karachi",,,,,8642e4577ffffff
OPERATIONAL,"{'location': {'lat': 25.0449979, 'lng': 67.0178756}, 'viewport': {'northeast': {'lat': 25.0463535802915, 'lng': 67.0192650802915}, 'southwest': {'lat': 25.0436556197085, 'lng': 67.01656711970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Noorani Hotel,ChIJxdubqo1Dsz4Ra2_fxMt5jiY,,ChIJxdubqo1Dsz4Ra2_fxMt5jiY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","22V9+X5R, Hub Dam Road, Gul Mohammad Qalandrani Goth Gul Mohammad Qalandrani Goth Gadap Town, Karachi",{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114370924790028898835"">Muhammad Barqeruba (BARQ)</a>'], 'photo_reference': 'AUGGfZmdRdRFoTtNZwbMeARCJBXvLhcTAe5VxAwHfWPn8nVsMqnvcgmSKmQMyMDHfuYpRwpmFTv0ih_efnNucp1zrVNP-V-jmNAf1YcvmUWK2SYZV5X9Rk4RmLb2Hq7SVyzQdjktvgg8hrQzAIdAQAEQ92_NNSuu3aSg_chmKEV5370vOvvJ', 'width': 3456}]",3.7,104.0,8642e4577ffffff
