business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,photos,rating,user_ratings_total,hex_id
OPERATIONAL,"{'location': {'lat': 24.93340599999999, 'lng': 67.321392}, 'viewport': {'northeast': {'lat': 24.9346775802915, 'lng': 67.32277058029152}, 'southwest': {'lat': 24.9319796197085, 'lng': 67.3200726197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Ali Ali Stop Ghullam Hussain goth,ChIJYUHtngg1sz4RjMgl8_tuW-s,ChIJYUHtngg1sz4RjMgl8_tuW-s,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']","W8MC+9G9, Super Highway Link Road, Gadap Town, Karachi",,,,8642e47a7ffffff
OPERATIONAL,"{'location': {'lat': 24.9192493, 'lng': 67.3126952}, 'viewport': {'northeast': {'lat': 24.9205695802915, 'lng': 67.3140352802915}, 'southwest': {'lat': 24.9178716197085, 'lng': 67.3113373197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Maroo Goth,ChIJ-eDqZcE1sz4Robb0yKRO5Ew,ChIJ-eDqZcE1sz4Robb0yKRO5Ew,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","W897+M3W, Maro Gadap Town, Karachi","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104039485496314499040"">Ghulam Waheed</a>'], 'photo_reference': 'AUGGfZkjsvarDM6Ev_1ex2lMPMhTtiB_XvQ5ryfR9ATDHe81ZPrZF2A9JNYBtQgxBBwto-6MJ_WNBsYWwXKq2Kw1ivUgE_1BpAItsiHTEaWgbx1lyAuhv0Li_URrke9HRrvbc6iLeYr_-A8X2jU9VKbMpCgIaBBTWvy0eZHrJXsHsydHuOvG', 'width': 1920}]",4.0,9.0,8642e47a7ffffff
