business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,photos,rating,user_ratings_total,opening_hours,permanently_closed,plus_code,hex_id
OPERATIONAL,"{'location': {'lat': 24.7931341, 'lng': 67.5226359}, 'viewport': {'northeast': {'lat': 24.7945569302915, 'lng': 67.52407108029152}, 'southwest': {'lat': 24.79185896970849, 'lng': 67.5213731197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Sindh Tea Point,ChIJjb-KhnjRTDkRYb-tQWE4-SU,ChIJjb-KhnjRTDkRYb-tQWE4-SU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","QGVF+732, National Highway 5, Dhabeji",,,,,,,8642e4687ffffff
OPERATIONAL,"{'location': {'lat': 24.7916806, 'lng': 67.5241896}, 'viewport': {'northeast': {'lat': 24.7930828802915, 'lng': 67.52546988029151}, 'southwest': {'lat': 24.7903849197085, 'lng': 67.52277191970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Shaji Cafe,ChIJaa8zdgDRTDkRER7qMOXEAhk,ChIJaa8zdgDRTDkRER7qMOXEAhk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","QGRF+MMR, Dhabeji Market, Dhabeji","[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107249447714459383467"">Ainu Azad kakar</a>'], 'photo_reference': 'AUGGfZlmIhXnXDATnvRgMyCTmyec8Y-LxZsDEs0dFsWqUp5W0vd7TzsKugHUQdBDFIe4xO2E7X5ZDYCHVQ4A_Xi-FbUceN2viTGe2gmIuObxryoy2g21t0mOLYrjups5UpwBCC9r9w_No89mbhMHr7jancNaua7p9EAEOSRBAftHnyWy94KH', 'width': 3296}]",4.0,2.0,,,,8642e4687ffffff
OPERATIONAL,"{'location': {'lat': 24.7916496, 'lng': 67.525025}, 'viewport': {'northeast': {'lat': 24.7929257802915, 'lng': 67.5262918802915}, 'southwest': {'lat': 24.7902278197085, 'lng': 67.52359391970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,المدینہ ربڑی دودھ,ChIJRVtw0JPRTDkRjUmKC_U1qzg,ChIJRVtw0JPRTDkRjUmKC_U1qzg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","QGRG+M22, Dhabeji",,4.0,1.0,,,,8642e4687ffffff
OPERATIONAL,"{'location': {'lat': 24.7909779, 'lng': 67.5251165}, 'viewport': {'northeast': {'lat': 24.7923663302915, 'lng': 67.5265102802915}, 'southwest': {'lat': 24.7896683697085, 'lng': 67.5238123197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Al shahbaz larkana Restaurant sweets & Bekrs,ChIJH4Z9okXRTDkRA2e8Ss-4M3Y,ChIJH4Z9okXRTDkRA2e8Ss-4M3Y,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","QGRG+92X, BHU Dhabeji, UC Dhabejee, Taluka, Dhabeji","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115967016578319828651"">MUHAMMAD FAYYAZ TURK</a>'], 'photo_reference': 'AUGGfZnU-eVY-eoz7r4N-nkgJsP4rObtvzGkyzQmk0HeL2Wxvxy0F8sMnd3vBbUjfzjG9TYXrE6TLp9My7dAYjAznzt8G4uj1LBiIRX_aEwaYBCd0tgEQUXPApZE-mvZ8w2y_ywT8CJwvqhPgZmFc9-y_hc6nXjX0YO6wem5JaXnOv0DNDe3', 'width': 2560}]",3.8,285.0,{'open_now': True},,,8642e4687ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.8109708, 'lng': 67.5016146}, 'viewport': {'northeast': {'lat': 24.8124101302915, 'lng': 67.5030191302915}, 'southwest': {'lat': 24.8097121697085, 'lng': 67.50032116970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,MugarBheen Hotel,ChIJg4xGaWzRTDkRF_lL6tmjKZg,ChIJg4xGaWzRTDkRF_lL6tmjKZg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","RG62+9JQ, National Highway 5, Dhabeji",,,,,True,,8642e4687ffffff
OPERATIONAL,"{'location': {'lat': 24.8111861, 'lng': 67.50130659999999}, 'viewport': {'northeast': {'lat': 24.8126026802915, 'lng': 67.5026993802915}, 'southwest': {'lat': 24.8099047197085, 'lng': 67.5000014197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Bachchal Shah Bukhari hotel,ChIJ9-6xT3_RTDkRGc47I6UKj_U,ChIJ9-6xT3_RTDkRGc47I6UKj_U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']","N5, Dhabeji Town","[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114260268400048007316"">Sony Ansary</a>'], 'photo_reference': 'AUGGfZne7JiH3yki-x6hei6NmbtcWSUY0wDOpo__ONcyw1dgAXbresqhrq08QcufnsZ_QxaYDjfR8-rIem-aLHUiyrKDsHv_a4WkbiAc92BnpHpFTVbkNbv08oBbsQJl4mObFUcI07nfB9JWiKfgVk9IospuJG6s5s-Spf2i5DlPn38Kk6ao', 'width': 540}]",3.7,3.0,{'open_now': True},,"{'compound_code': 'RG62+FG Dhabeji, Pakistan', 'global_code': '7JP9RG62+FG'}",8642e4687ffffff
