business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,photos,opening_hours,plus_code,hex_id
OPERATIONAL,"{'location': {'lat': 24.9895719, 'lng': 67.1721362}, 'viewport': {'northeast': {'lat': 24.9909129302915, 'lng': 67.1735438802915}, 'southwest': {'lat': 24.9882149697085, 'lng': 67.1708459197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe,ChIJm1CPiAtHsz4RGajw8YIAQbA,1.0,ChIJm1CPiAtHsz4RGajw8YIAQbA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"X5QC+RV, Gulshan E Usman, Karachi",,,,8642e4467ffffff
OPERATIONAL,"{'location': {'lat': 25.0194595, 'lng': 67.1730755}, 'viewport': {'northeast': {'lat': 25.0208425302915, 'lng': 67.1742345802915}, 'southwest': {'lat': 25.0181445697085, 'lng': 67.17153661970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,البوراق آٹوز,ChIJWbrXagBHsz4RT2L5L45BRz4,,ChIJWbrXagBHsz4RT2L5L45BRz4,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"259F+Q6P, Noor Muhammad Village Taiser Town, Karachi","[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114787952980790350360"">Mr BADSHA</a>'], 'photo_reference': 'AUGGfZnhWOvK2s6iegURThX6GTSS4zqQ21WaRsnUWOTqm_hQADmFHZEhMsYO2Fut7pqVjI2Tfyv1BxZTvK7vavZA3n7K5IumWymzkWzrR9Xffe833nfNf_eFd7Lf_ENnDJB0eYDuxnGUIPTkfIzGCdq5Dn3yTa2wUxlnknym1ffeFn7mOy8', 'width': 3060}]",,,8642e4467ffffff
OPERATIONAL,"{'location': {'lat': 24.98632330000001, 'lng': 67.1857254}, 'viewport': {'northeast': {'lat': 24.9877290802915, 'lng': 67.18708433029151}, 'southwest': {'lat': 24.98503111970849, 'lng': 67.1843863697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Cafe Ajwa,ChIJg2iDe0FHsz4R8sPvR7rHGX8,,ChIJg2iDe0FHsz4R8sPvR7rHGX8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"near Rim Jhim Villas, Commercial Street, Gulshan -e-Osman Housing Society, Karachi","[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107685218787249705913"">Quetta Cafe Ajwa</a>'], 'photo_reference': 'AUGGfZnq3rdFlliulBwILmtXXK46xnHmN6ChnhfvXlhy1Ih63tAFY1kBbOGrU2Z4EyAC_t7ZWMDs9mdGFlDgVioYVk42E-YOsSKOEOoNE-n-G1usz5asJBv2Irc6wA27CH0tLZo07NZhntXcA08sjnbzTN8mkBjmwr2BXfPbnyaxf1kmO_BK', 'width': 1280}]",{'open_now': True},"{'compound_code': 'X5PP+G7 Gulshan -e-Osman Housing Society Gulshan E Usman, Karachi, Pakistan', 'global_code': '7JP9X5PP+G7'}",8642e4467ffffff
OPERATIONAL,"{'location': {'lat': 24.986201, 'lng': 67.186375}, 'viewport': {'northeast': {'lat': 24.98762088029151, 'lng': 67.18773638029151}, 'southwest': {'lat': 24.9849229197085, 'lng': 67.18503841970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,kafe Ghos e al azam dastagheer,ChIJUxnM9w9Hsz4RwsCN1EKZxek,,ChIJUxnM9w9Hsz4RwsCN1EKZxek,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"X5PP+CQ2, Gulshan -e-Osman Housing Society Gulshan E Usman, Karachi",,,,8642e4467ffffff
OPERATIONAL,"{'location': {'lat': 24.9916958, 'lng': 67.1609084}, 'viewport': {'northeast': {'lat': 24.9931211302915, 'lng': 67.1623879302915}, 'southwest': {'lat': 24.9904231697085, 'lng': 67.1596899697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Aao Ji Piyo Ji,ChIJ8VIfPuFHsz4RpeWy7VcAJGM,5.0,ChIJ8VIfPuFHsz4RpeWy7VcAJGM,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"Plot L 730, Sector 11C-3 Sector 11 C 1 North Karachi Twp, Karachi",,,"{'compound_code': 'X5R6+M9 Gulzar E Hijri Scheme 33, Karachi, Pakistan', 'global_code': '7JP9X5R6+M9'}",8642e4467ffffff
