business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,permanently_closed,photos,hex_id
OPERATIONAL,"{'location': {'lat': 24.9596097, 'lng': 67.2251998}, 'viewport': {'northeast': {'lat': 24.9608329302915, 'lng': 67.2262244802915}, 'southwest': {'lat': 24.9581349697085, 'lng': 67.22352651970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Custodian Cafe,ChIJEX0g3Bg3sz4RLfykbmvDLnY,"{'compound_code': 'X65G+R3 Malir Cantonment, Karachi, Pakistan', 'global_code': '7JP9X65G+R3'}",5.0,ChIJEX0g3Bg3sz4RLfykbmvDLnY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1,"W58X+4W, Malir Cantonment, Karachi",,,,8642e4447ffffff
OPERATIONAL,"{'location': {'lat': 24.948544, 'lng': 67.21214429999999}, 'viewport': {'northeast': {'lat': 24.9499446302915, 'lng': 67.2134998802915}, 'southwest': {'lat': 24.94724666970849, 'lng': 67.21080191970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,KIMS Cafeteria,ChIJZTXc70s3sz4RRXurtIwLVps,,4.4,ChIJZTXc70s3sz4RRXurtIwLVps,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",13,"W6X6+CV6, Malir Cantonment, Karachi",{'open_now': True},,,8642e4447ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.9462081, 'lng': 67.2128125}, 'viewport': {'northeast': {'lat': 24.9475882302915, 'lng': 67.2141101302915}, 'southwest': {'lat': 24.9448902697085, 'lng': 67.2114121697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Little Venice - Malir Cantt,ChIJefiQmvU3sz4RVfcx7XDWrWs,"{'compound_code': 'W6W7+F4 Malir Cantonment, Karachi, Pakistan', 'global_code': '7JP9W6W7+F4'}",4.0,ChIJefiQmvU3sz4RVfcx7XDWrWs,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",61,"PAF-Sports Ground, Karachi",,True,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107098050472862683469"">Mirza Asad Baig</a>'], 'photo_reference': 'AUGGfZlS0YExA_A4MSP63gFWzyl-9qaM2LfXEmiIFpbXXG0u1fBXni_80dBbq0hqXh9XYazi4GNs7Vv6M5R9p93UVWHGDJhi-eqAo5nVl-e42hINnr8cuin5uH4m9kOb5tp44dw0byqhG6nlTeu3FX1Qc0GPYLCkA85kjG9z5rD67iJ-fxbi', 'width': 3024}]",8642e4447ffffff
OPERATIONAL,"{'location': {'lat': 24.9762426, 'lng': 67.2125302}, 'viewport': {'northeast': {'lat': 24.9775658802915, 'lng': 67.21387588029151}, 'southwest': {'lat': 24.9748679197085, 'lng': 67.21117791970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Malangi Hotel,ChIJgySpTaBJsz4Re3nr14v6lLE,,1.0,ChIJgySpTaBJsz4Re3nr14v6lLE,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1,"X6G6+FV8, Deh Dhaddu Malir Cantonment, Karachi",,,,8642e4447ffffff
