business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,photos,hex_id
OPERATIONAL,"{'location': {'lat': 24.9061535, 'lng': 67.005963}, 'viewport': {'northeast': {'lat': 24.9074728802915, 'lng': 67.00734063029151}, 'southwest': {'lat': 24.9047749197085, 'lng': 67.0046426697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Baba tea,{'open_now': True},ChIJh7gclww_sz4Rc5gdFY4kijI,5.0,ChIJh7gclww_sz4Rc5gdFY4kijI,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1,"W244+F98, Estate Avenue, Sindh Industrial Trading Estate, Karachi",,,8742e4435ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.9035942, 'lng': 67.01752859999999}, 'viewport': {'northeast': {'lat': 24.9049065302915, 'lng': 67.0187940802915}, 'southwest': {'lat': 24.9022085697085, 'lng': 67.01609611970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Pasheen Hotel,,ChIJcRWsqMg_sz4RsfXr3YqvG4U,3.5,ChIJcRWsqMg_sz4RsfXr3YqvG4U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",10,"W239+C2J, Manghopir Road, Sindh Industrial Trading Estate, Karachi",True,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111883091888816267151"">HikOO AchAk</a>'], 'photo_reference': 'AUGGfZmEz4QNwGimG9yJMakKWHw6A8dCg7wL7zKypjf-izEPJvkIPl7i_sjhcjYrwseApzbdkqRBvthCCrjoxtfS-rSwVxmP-gefy8pcRvS9VsdmwkU0aNvr6maGCvPithVB_Sm2jjeTBdz9Przj5bW2QwGZ2WEjzjb0yo1VAMEPDlCo_Sr5', 'width': 4000}]",8742e4435ffffff
