business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,hex_id
OPERATIONAL,"{'location': {'lat': 24.8877063, 'lng': 67.152383}, 'viewport': {'northeast': {'lat': 24.8893623302915, 'lng': 67.15372913029151}, 'southwest': {'lat': 24.8866643697085, 'lng': 67.1510311697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Makro Cafe & Bekary,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116781375814950790074"">Faran Akber</a>'], 'photo_reference': 'AUGGfZk-puLTVghQpXXpDKrobw30kudg_wMBpTioCpg4mNU3RaSsNpEPBvOAAyGQlJGhL1VMtUUp3XU_mUmTvSBIeZcNAxAzQm3RUL3L2gVrRANrvTjzyDUMOVWOXaypEae16iqUWBT51qnVR1SdPHCZ-1CI65nf5PCInmiHyjBugdBcZ4ag', 'width': 2560}]",ChIJv7cklZk5sz4RfSsdLS4NI0Q,2.0,3.9,ChIJv7cklZk5sz4RfSsdLS4NI0Q,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",162.0,"V5Q2+3XJ, Faisal Cantonment, Karachi",,8742e440bffffff
OPERATIONAL,"{'location': {'lat': 24.8866512, 'lng': 67.1638196}, 'viewport': {'northeast': {'lat': 24.8880093302915, 'lng': 67.1651677802915}, 'southwest': {'lat': 24.8853113697085, 'lng': 67.16246981970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Kakar Hotel,{'open_now': False},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110919494911061343841"">Ds Khan</a>'], 'photo_reference': 'AUGGfZkbcC0Ph3Q-3WYCgF3pjuLlRGqnbUkKpNrXe27SbTW4gVHjLp06YSHCs9YRAz50Z1Bm2zHc_jHJeFuGP9fOcaHih3XQ4YI30UwRz8gJNxSfRfiQE0xW5tYHMgJN61aodI23Iv3PIsWqbvA8kYFafcGnQEzGs8G9m8r-8a5Fi1vEX6Rp', 'width': 3264}]",ChIJ7XzZbNY5sz4R7fyp7KrC5-s,,4.1,ChIJ7XzZbNY5sz4R7fyp7KrC5-s,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",55.0,"V5P7+MG8, Muhammad Hammad Road, Moria Khan Goth Shah Faisal Colony",,8742e440bffffff
OPERATIONAL,"{'location': {'lat': 24.884684, 'lng': 67.1548691}, 'viewport': {'northeast': {'lat': 24.8860332302915, 'lng': 67.1562148802915}, 'southwest': {'lat': 24.8833352697085, 'lng': 67.15351691970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zafar Bakery,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115237550934060984070"">HASHMI MANSOOR</a>'], 'photo_reference': 'AUGGfZmNR56EQDKFINzGIvnesyt1oke9QsiwAcLqCCXHW3Z4Ml7i6ymi8xJ3UUL8Mud-QBu5CMK4HIcTxcleT7PrFd91jYYXDf-lSAnG2fhr9OMvL3hkk9tfObn5IOeTtLD7s-QqkIxDqCJuTRjOhQjAJXv4Iw1y6xthltaLam7BCH9RDY-w', 'width': 3264}]",ChIJW9J3mpA5sz4Rwc9cDqfOuxM,1.0,4.0,ChIJW9J3mpA5sz4Rwc9cDqfOuxM,GOOGLE,"['bakery', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']",438.0,"V5M3+VWH, Peoples Colony Shah Faisal Shah Faisal Colony, Karachi",,8742e440bffffff
OPERATIONAL,"{'location': {'lat': 24.8872631, 'lng': 67.1523404}, 'viewport': {'northeast': {'lat': 24.8884844802915, 'lng': 67.15369098029151}, 'southwest': {'lat': 24.8857865197085, 'lng': 67.15099301970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,T Factory Metro Star Gate Shahra e Faisal Khi,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116834898044547820775"">T Factory Metro Star Gate Shahra e Faisal Khi</a>'], 'photo_reference': 'AUGGfZl8DykNnelfdhv5nOWexE9Hg3nhSaF_3yBlkR2zfIgMBtd_ZLJ1B2wJ-0ct1PBP8eO5RgRpXuaULBY2rwF0P5qNgtwaWPfCz63UMFuvA1Del_Gdf3t-U6fIkFPSkWUCCTDRs7BL6LzT4F5gVB9raD-yXxDHUHgDieLmWR1bCk4yZqoE', 'width': 2938}]",ChIJeZySRlY5sz4RSB6xayweXlE,,3.9,ChIJeZySRlY5sz4RSB6xayweXlE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",9.0,"Shahrah e Faisal, Stargate rd,road, Faisal Cantonment, Karachi","{'compound_code': 'V5P2+WW Faisal Cantonment, Karachi, Pakistan', 'global_code': '7JP9V5P2+WW'}",8742e440bffffff
OPERATIONAL,"{'location': {'lat': 24.894205, 'lng': 67.1553385}, 'viewport': {'northeast': {'lat': 24.8955207802915, 'lng': 67.15662648029151}, 'southwest': {'lat': 24.8928228197085, 'lng': 67.15392851970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Opera Cafe Ramada Plaza,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109627110002150788799"">Syeda Batool</a>'], 'photo_reference': 'AUGGfZkkUQ50dXHWqqJGR_2gMb8z-_UcHSbXwBh5FPRtLAjnsO_YSeEsNumtHSQxVuSFPLRLdg6vlQ2m9bSw86t6H1FpzYGXt-dKWBU_sFYazJNKM8l_zrK0psyOIr0L9jH30idpA0BjL-mdM7LfwcjFvKuzMwl9xxMYwBJWg7-_lF3GpzOA', 'width': 1468}]",ChIJZ1S7l1M5sz4Rc1QS7QQYcqI,,4.3,ChIJZ1S7l1M5sz4Rc1QS7QQYcqI,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",56.0,"V5V4+M6H, Faisal Cantonment, Karachi",,8742e440bffffff
OPERATIONAL,"{'location': {'lat': 24.8940427, 'lng': 67.1545639}, 'viewport': {'northeast': {'lat': 24.8954286802915, 'lng': 67.15598313029152}, 'southwest': {'lat': 24.8927307197085, 'lng': 67.1532851697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Fly,{'open_now': True},"[{'height': 428, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113260407599267928047"">Airport Hotel</a>'], 'photo_reference': 'AUGGfZnD3bTOqBrIcBDvWyvt4X689mQfTLfX2H49NvrXlVJ-JTJ7W62XaR2nUTAiPa0ZNHWhc8VjxV5EKTRZRhNFt2DzIjbRgmabAnVHHpOooFGzMS83zSP0yDMPfrblUdX1RC4TkOFin43EPU5-Py8YvJyM69TcI9K304iUCts0yriiAcCm', 'width': 1024}]",ChIJ25J3H1I5sz4RiCWDiXqchkk,,4.5,ChIJ25J3H1I5sz4RiCWDiXqchkk,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",6.0,"Airport Hotel, Star Gate Road, Faisal Cantonment, Karachi","{'compound_code': 'V5V3+JR Faisal Cantonment, Karachi, Pakistan', 'global_code': '7JP9V5V3+JR'}",8742e440bffffff
OPERATIONAL,"{'location': {'lat': 24.8907701, 'lng': 67.16723259999999}, 'viewport': {'northeast': {'lat': 24.8921066802915, 'lng': 67.1686132802915}, 'southwest': {'lat': 24.88940871970849, 'lng': 67.16591531970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shukryia lounge PIA,,,ChIJvxY1ZQA5sz4RBrILTooJJAw,,,ChIJvxY1ZQA5sz4RBrILTooJJAw,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"V5R8+8V5, Jinnah International Terminal Road, Faisal Cantonment, Karachi",,8742e440bffffff
