business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,price_level,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 25.0442085, 'lng': 67.3793683}, 'viewport': {'northeast': {'lat': 25.04561903029151, 'lng': 67.38071748029151}, 'southwest': {'lat': 25.0429210697085, 'lng': 67.3780195197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Nako Chakar Hotel Kathore,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112146581652513838369"">Film World</a>'], 'photo_reference': 'AUGGfZnmJcZH2tvOOwrLrjqfromaqKtJNXii4QGcGkPf1aLUuz-53tkLvPftjWK04W-YgTNKUv1LJV1NTNCzDDJv933qM6Nl1lzXgJAJ7pufFoo-YcMf7I89ZdWzRrIjyfk41zC6bS9wOgnufgISTaZpQAvgGBdqL30VVezYDFZH3PI0QydF', 'width': 2268}]",ChIJJ_EkT_lLsz4RJEJc8F_dDes,1.0,4.2,ChIJJ_EkT_lLsz4RJEJc8F_dDes,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",67,"29VH+MPQ, Unnamed Road, Siraj Ahmed Goth Gadap Town, Karachi",8642e4707ffffff
OPERATIONAL,"{'location': {'lat': 25.0412225, 'lng': 67.3921474}, 'viewport': {'northeast': {'lat': 25.0426236802915, 'lng': 67.3934675802915}, 'southwest': {'lat': 25.0399257197085, 'lng': 67.3907696197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Sajjan Faqeer Hotel,,"[{'height': 404, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115835960539367147654"">Abd Khan</a>'], 'photo_reference': 'AUGGfZkO9PAgtKpXtrpHoQTS2gGC1-mf-I7qyyQwvZyBMS9-a0qrhl71-xMFodTE-9WWojdnN7_Rin_3CMjz7fyJlksQKvAiGNEzXqOIo3_osS3x_y81pQ33Ze8Tz5h7lNCVI_Y0lywBnIXLVrhGFT1mAROZOJtAR42pdiHaq_DUox796n1R', 'width': 600}]",ChIJV_1yqxm1TDkR7zOLFnVsF8A,,3.3,ChIJV_1yqxm1TDkR7zOLFnVsF8A,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",3,"29RR+FVJ, Malir, Mubarak Brohi Goth Gadap Town, Karachi",8642e4707ffffff
OPERATIONAL,"{'location': {'lat': 25.0504409, 'lng': 67.3844476}, 'viewport': {'northeast': {'lat': 25.0518013302915, 'lng': 67.3858476802915}, 'southwest': {'lat': 25.0491033697085, 'lng': 67.3831497197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Bashhu Hotel,{'open_now': True},,ChIJDZPrMUy1TDkRtfWVU9YrY5o,,4.7,ChIJDZPrMUy1TDkRtfWVU9YrY5o,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",7,"392M+5QG, Gadap Town, Karachi",8642e4707ffffff
