business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,hex_id
OPERATIONAL,"{'location': {'lat': 24.98403009999999, 'lng': 67.05213739999999}, 'viewport': {'northeast': {'lat': 24.98536388029151, 'lng': 67.0534860302915}, 'southwest': {'lat': 24.9826659197085, 'lng': 67.05078806970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Bissmillah Sheesha Hotel,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113037379782760504928"">Rukhsar ahmed Afridi</a>'], 'photo_reference': 'AUGGfZmpuLS8pT9uxCEYX1Hgw8Wy-TzDjTeRcBdW5VDayivimmnvXm-6i8RParVw7L-K7G8SnzGrdxP-7KD83ofrre40PejdJZyA-ZWgC9BDf_qAQFe8U1jllWvB1jF3bkbaE05NxbPDTmeIQMlbvMCHmefoDj7v_CXmTJPdw24_9XGvm40t', 'width': 1920}]",ChIJc9YkSvVBsz4RzUBWDeKjTnQ,4.5,ChIJc9YkSvVBsz4RzUBWDeKjTnQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",32.0,"X3M2+JV6, Unnamed Road, Sector 7 A North Karachi Township, Karachi",,8742e4550ffffff
OPERATIONAL,"{'location': {'lat': 24.9852117, 'lng': 67.0519564}, 'viewport': {'northeast': {'lat': 24.9865379802915, 'lng': 67.05334793029151}, 'southwest': {'lat': 24.9838400197085, 'lng': 67.0506499697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Masha Allah Quetta Hotel,,,ChIJs1_1e_5Asz4Rf9WTHakuWaI,4.7,ChIJs1_1e_5Asz4Rf9WTHakuWaI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"X3P2+3QP, Sector 1 New Karachi Town, Karachi",,8742e4550ffffff
OPERATIONAL,"{'location': {'lat': 24.9854433, 'lng': 67.0553326}, 'viewport': {'northeast': {'lat': 24.9867889302915, 'lng': 67.0566053302915}, 'southwest': {'lat': 24.9840909697085, 'lng': 67.0539073697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Hussain Hotel,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105826954835530923586"">Sameer khan</a>'], 'photo_reference': 'AUGGfZm0-3kC3wSIuewJ1SXMvoyHtbAaScqd-qV26XzF4U8CKlnmJb0EJx2cEIA8ejkbpmJ6m74EzTTmfN5J2uOSW4J3enkShBjeyAVH9UqDrB3nJ7fgiY0eb3jtrSyKe6-7dRIid7HP0yPHkp2IeFzeFPjIKbhsEcF9Qhs4nzbFvphgWHBy', 'width': 1920}]",ChIJsb7eYKxBsz4Rie6_JtHAlh0,4.3,ChIJsb7eYKxBsz4Rie6_JtHAlh0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",91.0,"X3P4+54G, Sector 5 C New Karachi Town, Karachi",,8742e4550ffffff
OPERATIONAL,"{'location': {'lat': 24.9883125, 'lng': 67.0539375}, 'viewport': {'northeast': {'lat': 24.9896635802915, 'lng': 67.05528628029151}, 'southwest': {'lat': 24.9869656197085, 'lng': 67.0525883197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Faizan French Fries,,,ChIJw5lIgL5Bsz4RYH4Zq_3B_zE,3.0,ChIJw5lIgL5Bsz4RYH4Zq_3B_zE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Sector 4 New Karachi Town, Karachi","{'compound_code': 'X3Q3+8H New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3Q3+8H'}",8742e4550ffffff
OPERATIONAL,"{'location': {'lat': 24.9886603, 'lng': 67.05479489999999}, 'viewport': {'northeast': {'lat': 24.9900286802915, 'lng': 67.05614228029151}, 'southwest': {'lat': 24.9873307197085, 'lng': 67.0534443197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cheena Quetta hotel,,,ChIJ9bUXSQBBsz4RLgp7Mp_4FBw,,ChIJ9bUXSQBBsz4RLgp7Mp_4FBw,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,"ST 10, Sector 4 New Karachi Town, Karachi","{'compound_code': 'X3Q3+FW New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3Q3+FW'}",8742e4550ffffff
OPERATIONAL,"{'location': {'lat': 24.9784692, 'lng': 67.0559093}, 'viewport': {'northeast': {'lat': 24.9798839802915, 'lng': 67.0572540302915}, 'southwest': {'lat': 24.97718601970849, 'lng': 67.0545560697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Al-Haaj Taaj hotel and Pakwan center الحاج تاج ہوٹل اینڈ پکوان سینٹر,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100950364274896115976"">sajid hasan</a>'], 'photo_reference': 'AUGGfZlRgAbRNOOXtwxt3mvIQbfnkfZlxzqEAniIolulYiE7MOyWaVH4o3HynzVd0nFwDCGhbGyNVYGSGVd3LG2ESJOIbA4pxCo2d-dqo17Do134itHELbABGtV8lKiLL_CPTw4i9fiyiizkVkRWDofRTbl5cGAcJ5sjBwT3OKfXgmnehSAC', 'width': 4032}]",ChIJVYrOEbpBsz4RUyubDvGNvAo,3.8,ChIJVYrOEbpBsz4RUyubDvGNvAo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",76.0,"X3H4+99M, Sector 11 B North Karachi Township, Karachi",,8742e4550ffffff
OPERATIONAL,"{'location': {'lat': 24.981944, 'lng': 67.0598634}, 'viewport': {'northeast': {'lat': 24.9832786802915, 'lng': 67.0612127302915}, 'southwest': {'lat': 24.9805807197085, 'lng': 67.05851476970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,The Loyal Chef,,,ChIJKUQWeE1Bsz4Rjjk6MdFC9BE,,ChIJKUQWeE1Bsz4Rjjk6MdFC9BE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Sector 11-A North Karachi Township, Karachi","{'compound_code': 'X3J5+QW North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3J5+QW'}",8742e4550ffffff
