business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 24.8493893, 'lng': 67.42763599999999}, 'viewport': {'northeast': {'lat': 24.8506083302915, 'lng': 67.4289284302915}, 'southwest': {'lat': 24.8479103697085, 'lng': 67.4262304697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,VIP Cafe Dost Muhammad,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104984705365142660842"">Hafeez Rehman</a>'], 'photo_reference': 'AUGGfZn8OUAgUYR-Vcm30oIC6QSsL1l8UZRhBz0wCxrL3-KTFz5pof3Sj9sAzzpcXgvZkqzGDalpzDueipCF3Ht9QyCNbfPLMIaNKtFdte6eT6d6auavN3vdXg2-TXKeHt_M3adQDX0ibEKXIlBPrmIE7d6UiEPMys9Yl0YOZRWdqQqKHLhW', 'width': 3264}]",ChIJpwLgeArNTDkRz35GD52BAZs,"{'compound_code': 'RCXH+Q3 Bin Qasim Town, Karachi, Pakistan', 'global_code': '7JP9RCXH+Q3'}",3.9,ChIJpwLgeArNTDkRz35GD52BAZs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",33.0,"N 5, Ghaghar Phatak Bin Qasim Town, Karachi",8642e479fffffff
OPERATIONAL,"{'location': {'lat': 24.8322951, 'lng': 67.4169709}, 'viewport': {'northeast': {'lat': 24.8335228302915, 'lng': 67.41827718029151}, 'southwest': {'lat': 24.83082486970849, 'lng': 67.4155792197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Luqman Khattak Mess,,,ChIJGbtwnT_NTDkRP2wR8sbW0q0,,5.0,ChIJGbtwnT_NTDkRP2wR8sbW0q0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"RCJ8+WQ9, Eastern Zone Bin Qasim Town, Karachi",8642e479fffffff
OPERATIONAL,"{'location': {'lat': 24.8526877, 'lng': 67.42330679999999}, 'viewport': {'northeast': {'lat': 24.8540692302915, 'lng': 67.4246715302915}, 'southwest': {'lat': 24.8513712697085, 'lng': 67.4219735697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Shazli House,,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107847819530186850794"">Shazli House</a>'], 'photo_reference': 'AUGGfZlUqtflkouiLwB7NGD1acoyUTpWmvQmz-2kKBCL-YzmJkugCZxgTojGspG3NdNDdtN80NbSGwhjPR5BJCyx-uyW6hzO5cIKAng8NFkr7jELawqgwhxhvUIZu9bG_sZQtlBRRZ__A6QP_FQht8N--sf7fjDguNvXra0AZSh0xtYUsiEx', 'width': 720}]",ChIJk0dfiW_NTDkRBwjoMMdIKu0,"{'compound_code': 'VC3F+38 Bin Qasim Town, Karachi, Pakistan', 'global_code': '7JP9VC3F+38'}",,ChIJk0dfiW_NTDkRBwjoMMdIKu0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"A-80, Ahsanabad Sector 5 Sector-5 Bin Qasim Town, Karachi",8642e479fffffff
OPERATIONAL,"{'location': {'lat': 24.847573, 'lng': 67.43145179999999}, 'viewport': {'northeast': {'lat': 24.8489383302915, 'lng': 67.4327081802915}, 'southwest': {'lat': 24.8462403697085, 'lng': 67.43001021970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,SANDEELO HOTEL (Umar Khan Sandeelo Market),,,ChIJUd58iEPNTDkRVCHktbn54XU,,4.0,ChIJUd58iEPNTDkRVCHktbn54XU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"RCXJ+2HG, Street Number 4, Goth Ghulam Muhammad Ghaghar Phatak Bin Qasim Town, Karachi",8642e479fffffff
