business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,opening_hours,photos,hex_id
OPERATIONAL,"{'location': {'lat': 24.9601634, 'lng': 66.9258302}, 'viewport': {'northeast': {'lat': 24.9615113802915, 'lng': 66.92718003029151}, 'southwest': {'lat': 24.95881341970849, 'lng': 66.92448206970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta sawar kakar hotel,ChIJSVymAQBrsz4Rd7FgIpykcH4,ChIJSVymAQBrsz4Rd7FgIpykcH4,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']","XW6G+388, Musharraf Colony Pervez Musharraf Colony Keamari, Karachi",,,8642e4507ffffff
OPERATIONAL,"{'location': {'lat': 24.9607805, 'lng': 66.9276987}, 'viewport': {'northeast': {'lat': 24.9621643802915, 'lng': 66.9290568802915}, 'southwest': {'lat': 24.9594664197085, 'lng': 66.92635891970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Chai Bar,ChIJXSDoNQBrsz4R2GnHwUstdpQ,ChIJXSDoNQBrsz4R2GnHwUstdpQ,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']","XW6H+73R, Musharraf Colony Pervez Musharraf Colony Keamari, Karachi",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102509027018231920978"">Zeeshan khan</a>'], 'photo_reference': 'AUGGfZnlgwictIUNFdE_cCbtKC0_qZft3S18dAj6n7u1Il36XoFIRCM-z1KF-Q9c-Pt4rQMSq_szoKbWEBiUuYNDMnJ7yAXWtg9Ra3onTcP4vjqiBZxlPLiJzeDgJWvnF_U7q8aHpbB2XoCUpfBFqvgXoY1yNN9i6ZHvnGEKjfdZQ_UzXsFW', 'width': 4032}]",8642e4507ffffff
