business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,hex_id
OPERATIONAL,"{'location': {'lat': 24.8697856, 'lng': 67.2462979}, 'viewport': {'northeast': {'lat': 24.8710989802915, 'lng': 67.2476645802915}, 'southwest': {'lat': 24.8684010197085, 'lng': 67.24496661970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New qwita hotel,"[{'height': 1608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115128277424232915943"">Electrical Engineering</a>'], 'photo_reference': 'AUGGfZnCZBAfCTZM8ZBm1U5zntTyAFYKPRqB8li5vhLAsd88SNz0d8rOFErir5feHMyBEGbBvFN8nuVx8rDWdYrfNxgEXqFgRkLsp2cs65_uRYdehIBJcfdlB9qwLRAlCJaDvZx6d1PWGK-zW1iSZnOKFFKYvb7kh0zDWBexYmkpLGDs1Mz5', 'width': 3425}]",ChIJoZeTFoYxsz4Rpli57hvkarY,3.8,ChIJoZeTFoYxsz4Rpli57hvkarY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"V69W+WG7, Bin Qasim Town, Saleh Muhammad Goth",8642e44efffffff
OPERATIONAL,"{'location': {'lat': 24.8701959, 'lng': 67.24642779999999}, 'viewport': {'northeast': {'lat': 24.87152043029151, 'lng': 67.2478018802915}, 'southwest': {'lat': 24.8688224697085, 'lng': 67.2451039197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,ismail Hotel,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113956328718709670556"">Zafar Baloch</a>'], 'photo_reference': 'AUGGfZkomngb_d3SSYw9tPI4ID6Cz95fDri-OmF7wsa96C2_4nyuhg3MJJb3E29h5zfJrbJZrUxwbMqzF3AHrAMWzBru0GSSjue9fa_l7zMfwVa7HASC6kJ10YokJXbJGwWwFtC_LPNctY6v3un3c8CndMGFZUd6w7YQivJxPtybSsXt1--H', 'width': 2128}]",ChIJbVmp_iQxsz4Rb_CSjs-m1D0,4.3,ChIJbVmp_iQxsz4Rb_CSjs-m1D0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",40.0,"V6CW+3HF, Saleh Muhammad Goth Bin Qasim Town, Saleh Muhammad Goth",8642e44efffffff
OPERATIONAL,"{'location': {'lat': 24.8616854, 'lng': 67.2638848}, 'viewport': {'northeast': {'lat': 24.8630710302915, 'lng': 67.2652233802915}, 'southwest': {'lat': 24.86037306970849, 'lng': 67.26252541970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کوئٹہ انور ہوٹل,,ChIJy52p3gAxsz4R98Dw62I_c0U,5.0,ChIJy52p3gAxsz4R98Dw62I_c0U,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",3.0,"V767+MHC, Shah Latif Town, Karachi",8642e44efffffff
OPERATIONAL,"{'location': {'lat': 24.8545614, 'lng': 67.2266951}, 'viewport': {'northeast': {'lat': 24.8559678302915, 'lng': 67.22804338029151}, 'southwest': {'lat': 24.8532698697085, 'lng': 67.22534541970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Couspoon,,ChIJyQZxa0wxsz4RHmggU-ysTYk,,ChIJyQZxa0wxsz4RHmggU-ysTYk,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"V63G+RMG, Landhi Industrial Area, Karachi",8642e44efffffff
OPERATIONAL,"{'location': {'lat': 24.85661379999999, 'lng': 67.2651374}, 'viewport': {'northeast': {'lat': 24.8579738802915, 'lng': 67.2665327802915}, 'southwest': {'lat': 24.85527591970849, 'lng': 67.26383481970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,FAST Dhaba,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110611058062234483388"">Anas Arif</a>'], 'photo_reference': 'AUGGfZnWPvEIzXMRc4Z4rZE7FrEvQ9Hi6-E0aRgRXCTFszfFERv80eRKfeipf14KoauzoayxgewdfGa0JXLyYH6ujqrXSzfth9Krj0ai_FsjqAbwAfWOwX2sA3x5CEzKjM1hMryrSmVQwYI3jQ4P-VSQrCdOXCxJhM9AhOeMWlCwDr8EOqPj', 'width': 3000}]",ChIJWXhRhxkxsz4Rs3UXrYyPWfg,2.5,ChIJWXhRhxkxsz4Rs3UXrYyPWfg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"V748+J3R, National Highway 5, Shah Latif Town, Karachi",8642e44efffffff
