business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,opening_hours,hex_id
CLOSED_TEMPORARILY,"{'location': {'lat': 24.8284006, 'lng': 67.21898689999999}, 'viewport': {'northeast': {'lat': 24.82974448029151, 'lng': 67.22032348029151}, 'southwest': {'lat': 24.8270465197085, 'lng': 67.2176255197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Iqra Imam-e-Azam Abu Hanifa School,True,"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108244706408631289160"">Talha Baloch</a>'], 'photo_reference': 'AUGGfZk5SCdKZeWiZTkHyczbHmXKPz2iOUHbApQOculq8k4TCHkU6zpIlX74kht9ZgcIER2lrXrX7SuCPZyljKp9pft-jFG8eqxie_X9HBVpTFdU7zX24DKxzs4dPJowPnalrQrUxrLwNYrOuk-uB4DhAjlAGlH3_NjOutc6rTHC0JJ3JcMD', 'width': 2976}]",ChIJEysSC1wwsz4RWbfglemdn0M,3.2,ChIJEysSC1wwsz4RWbfglemdn0M,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,"R6H9+9H9, Muzaffarabad, Landhi Town, Muslimabad Colony Landhi Town, Karachi",,,8642e44c7ffffff
OPERATIONAL,"{'location': {'lat': 24.8328722, 'lng': 67.2275611}, 'viewport': {'northeast': {'lat': 24.8341948802915, 'lng': 67.2289105302915}, 'southwest': {'lat': 24.8314969197085, 'lng': 67.22621256970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,RAJU GOL GAPPAY,,,ChIJbWR5DwQxsz4Rhz3OPdoaSWo,,ChIJbWR5DwQxsz4Rhz3OPdoaSWo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"Plot D7 Road, Majeed Colony 1 Landhi Town, Karachi","{'compound_code': 'R6MH+42 Landhi Town, Karachi, Pakistan', 'global_code': '7JP9R6MH+42'}",,8642e44c7ffffff
OPERATIONAL,"{'location': {'lat': 24.8264375, 'lng': 67.2074375}, 'viewport': {'northeast': {'lat': 24.8278092802915, 'lng': 67.20890018029151}, 'southwest': {'lat': 24.82511131970849, 'lng': 67.20620221970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New quatah darbar hotel,,"[{'height': 1808, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108688094086202403358"">New quatah darbar hotel</a>'], 'photo_reference': 'AUGGfZmYS6IXS3nModRF2_jgzwLre3Y6e-KaoES3c5UymjBQ1GHQ4S9J6vfAkTZtJhAOo92tGzSaOgs96Ukrlq7Q7f4q9jxSVuXih5wHyBZ7J2C4f1k1PKigwVkSRyYiCaXpXZWkM-JCmh24kl3Q2dp36Mo3oitVG_fFRL7VlIxUxHDOKZur', 'width': 4000}]",ChIJGR-ulXwxsz4RxHkHXQeUHXU,5.0,ChIJGR-ulXwxsz4RxHkHXQeUHXU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",2.0,"R6G4+HX5, Naval Land Landhi Town, Karachi",,{'open_now': False},8642e44c7ffffff
